match_id,blue_win,blueChampionKill,blueFirstBlood,blueTowerKill,blueInhibitorKill,blueBaronKill,blueRiftHeraldKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,redChampionKill,redFirstBlood,redTowerKill,redInhibitorKill,redBaronKill,redRiftHeraldKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidgrubKill,blueAtakhanKill,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidgrubKill,redAtakhanKill,redDragonChemtech_DragonKill,redDragonEarth_DragonKill,blueDragonHextech_DragonKill,redDragonHextech_DragonKill,blue1_championId,blue1_position,blue2_championId,blue2_position,blue3_championId,blue3_position,blue4_championId,blue4_position,blue5_championId,blue5_position,red1_championId,red1_position,red2_championId,red2_position,red3_championId,red3_position,red4_championId,red4_position,red5_championId,red5_position,redDragonWater_DragonKill,blueDragonFire_DragonKill,blueDragonChemtech_DragonKill,redDragonAir_DragonKill,blueDragonWater_DragonKill,redDragonFire_DragonKill,blueDragonEarth_DragonKill,blueDragonAir_DragonKill,redDragonElder_DragonKill,blueDragonElder_DragonKill,blueTeamChampions,redTeamChampions
KR_7647349083,TRUE,23,TRUE,3,0,0,0,41700,529,132,12,10,FALSE,1,0,0,1,35815,537,148,11.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85,TOP,238,JUNGLE,103,MIDDLE,119,BOTTOM,526,UTILITY,126,TOP,5,JUNGLE,517,MIDDLE,429,BOTTOM,111,UTILITY,0,0,0,0,0,1,1,0,0,0,0,0
KR_7647288453,TRUE,29,TRUE,9,1,1,1,63329,775,197,16,17,FALSE,3,0,0,0,52778,707,219,14.2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,107,TOP,80,JUNGLE,103,MIDDLE,21,BOTTOM,40,UTILITY,83,TOP,163,JUNGLE,91,MIDDLE,236,BOTTOM,267,UTILITY,0,0,0,1,0,0,0,0,0,0,0,0
KR_7646564561,FALSE,7,FALSE,0,0,0,0,25078,378,94,9.4,24,TRUE,1,0,0,0,33087,434,96,10.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,85,TOP,245,JUNGLE,238,MIDDLE,42,BOTTOM,44,UTILITY,18,TOP,80,JUNGLE,163,MIDDLE,30,BOTTOM,111,UTILITY,0,0,0,0,0,0,0,0,0,0,0,0
KR_7646470780,TRUE,29,TRUE,6,0,0,1,48367,610,158,13.4,10,FALSE,2,0,0,0,39968,562,122,11.8,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,799,TOP,234,JUNGLE,103,MIDDLE,110,BOTTOM,78,UTILITY,107,TOP,245,JUNGLE,8,MIDDLE,202,BOTTOM,89,UTILITY,0,1,0,0,1,0,0,0,0,0,0,0
KR_7642875797,FALSE,19,TRUE,3,0,0,1,50836,704,186,14,14,FALSE,5,0,1,0,53098,709,215,15.4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,68,TOP,5,JUNGLE,893,MIDDLE,202,BOTTOM,78,UTILITY,887,TOP,24,JUNGLE,777,MIDDLE,18,BOTTOM,888,UTILITY,1,0,0,1,0,0,0,1,0,0,0,0
KR_7642849510,TRUE,23,FALSE,3,0,0,0,34508,410,126,10.6,9,TRUE,1,0,0,0,27182,393,68,9.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,TOP,143,JUNGLE,42,MIDDLE,110,BOTTOM,80,UTILITY,516,TOP,5,JUNGLE,61,MIDDLE,202,BOTTOM,12,UTILITY,0,0,0,0,0,1,1,0,0,0,0,0
KR_7642805242,FALSE,37,FALSE,3,0,0,1,65101,732,211,15.8,41,TRUE,9,1,1,0,72207,780,207,16.4,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,887,TOP,91,JUNGLE,14,MIDDLE,236,BOTTOM,12,UTILITY,84,TOP,234,JUNGLE,893,MIDDLE,18,BOTTOM,80,UTILITY,0,0,0,2,0,0,0,0,0,0,0,0
KR_7642734801,TRUE,36,TRUE,8,1,1,1,66957,779,162,16.4,17,FALSE,5,0,0,0,56903,762,194,14.2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,68,TOP,64,JUNGLE,1,MIDDLE,110,BOTTOM,518,UTILITY,23,TOP,80,JUNGLE,3,MIDDLE,81,BOTTOM,60,UTILITY,0,1,0,1,0,0,0,0,0,0,0,0
KR_7642681127,FALSE,23,FALSE,2,0,0,1,50764,695,164,14,29,TRUE,6,0,1,0,59690,705,179,15.2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,126,TOP,245,JUNGLE,142,MIDDLE,81,BOTTOM,43,UTILITY,887,TOP,80,JUNGLE,517,MIDDLE,236,BOTTOM,85,UTILITY,1,0,0,0,0,1,0,0,0,0,0,0
KR_7642183074,TRUE,19,TRUE,6,0,0,1,47314,631,173,13.6,13,FALSE,1,0,0,0,39430,561,139,12.2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,68,TOP,5,JUNGLE,13,MIDDLE,523,BOTTOM,412,UTILITY,150,TOP,76,JUNGLE,777,MIDDLE,21,BOTTOM,526,UTILITY,0,0,0,0,0,0,1,0,0,0,0,0
KR_7641651582,FALSE,10,FALSE,2,0,0,1,48910,754,118,13.2,26,TRUE,10,2,1,0,61250,777,219,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,126,TOP,427,JUNGLE,55,MIDDLE,81,BOTTOM,12,UTILITY,83,TOP,876,JUNGLE,777,MIDDLE,21,BOTTOM,201,UTILITY,1,0,0,0,0,1,0,0,0,0,0,0
KR_7640665432,FALSE,22,FALSE,2,0,0,0,46520,576,139,12.8,33,TRUE,9,1,0,1,57463,665,166,14.4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,117,TOP,5,JUNGLE,268,MIDDLE,110,BOTTOM,78,UTILITY,76,TOP,254,JUNGLE,103,MIDDLE,498,BOTTOM,111,UTILITY,0,0,0,1,1,0,0,0,0,0,0,0
KR_7640638210,TRUE,30,TRUE,9,1,0,1,57988,662,179,14.6,18,FALSE,4,0,0,0,50577,676,151,13.8,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,24,TOP,5,JUNGLE,3,MIDDLE,81,BOTTOM,78,UTILITY,887,TOP,254,JUNGLE,517,MIDDLE,145,BOTTOM,12,UTILITY,0,0,1,0,1,0,0,0,0,0,0,0
KR_7640622521,TRUE,21,FALSE,2,0,0,0,34180,444,102,10.2,9,TRUE,0,0,0,0,25816,346,76,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,887,TOP,80,JUNGLE,112,MIDDLE,81,BOTTOM,89,UTILITY,68,TOP,62,JUNGLE,238,MIDDLE,145,BOTTOM,12,UTILITY,0,0,0,0,0,0,0,0,0,0,0,0
KR_7640610597,TRUE,5,TRUE,0,0,0,0,10073,114,32,4.6,2,FALSE,0,0,0,0,8788,84,35,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,TOP,62,JUNGLE,8,MIDDLE,236,BOTTOM,12,UTILITY,83,TOP,238,JUNGLE,13,MIDDLE,145,BOTTOM,78,UTILITY,0,0,0,0,0,0,0,0,0,0,0,0
KR_7640575089,TRUE,39,TRUE,11,3,1,1,72500,799,259,16.8,29,FALSE,5,0,0,0,66140,791,159,16,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,887,TOP,11,JUNGLE,13,MIDDLE,110,BOTTOM,518,UTILITY,126,TOP,80,JUNGLE,3,MIDDLE,236,BOTTOM,267,UTILITY,0,0,0,0,1,0,1,0,0,0,0,0
KR_7640532087,TRUE,39,TRUE,9,2,1,1,64170,730,186,16,19,FALSE,3,0,0,0,55510,691,209,14.2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799,TOP,80,JUNGLE,1,MIDDLE,236,BOTTOM,98,UTILITY,76,TOP,238,JUNGLE,13,MIDDLE,202,BOTTOM,526,UTILITY,0,1,0,0,0,0,2,1,0,0,0,0
KR_7640485297,TRUE,43,TRUE,8,1,0,1,60824,665,195,15.4,17,FALSE,2,0,0,0,48951,638,143,13.4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68,TOP,950,JUNGLE,517,MIDDLE,498,BOTTOM,497,UTILITY,114,TOP,80,JUNGLE,163,MIDDLE,202,BOTTOM,12,UTILITY,0,2,0,0,0,0,1,0,0,0,0,0
KR_7640356077,TRUE,33,TRUE,8,1,1,0,67822,758,195,16.2,18,FALSE,5,0,0,1,59818,811,188,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,68,TOP,64,JUNGLE,134,MIDDLE,498,BOTTOM,497,UTILITY,126,TOP,234,JUNGLE,3,MIDDLE,236,BOTTOM,267,UTILITY,0,0,0,0,0,0,1,1,0,0,0,0
KR_7639940086,FALSE,18,FALSE,4,0,0,0,53675,681,187,14,35,TRUE,9,1,1,1,63655,703,176,15.4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,76,TOP,122,JUNGLE,61,MIDDLE,236,BOTTOM,12,UTILITY,42,TOP,427,JUNGLE,13,MIDDLE,21,BOTTOM,111,UTILITY,0,0,0,1,0,1,0,0,0,0,0,0
KR_7639917153,TRUE,25,TRUE,4,0,0,0,34657,361,122,10.4,12,FALSE,1,0,0,0,29342,371,92,9.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,TOP,36,JUNGLE,517,MIDDLE,236,BOTTOM,111,UTILITY,8,TOP,80,JUNGLE,238,MIDDLE,22,BOTTOM,518,UTILITY,0,1,0,0,0,0,1,0,0,0,0,0
KR_7639883253,TRUE,29,FALSE,9,1,0,0,54307,654,183,14.6,12,TRUE,2,0,0,1,42488,620,154,12.8,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68,TOP,80,JUNGLE,163,MIDDLE,236,BOTTOM,111,UTILITY,897,TOP,234,JUNGLE,910,MIDDLE,523,BOTTOM,526,UTILITY,0,0,0,1,1,0,0,0,0,0,0,0
KR_7638416704,TRUE,46,TRUE,11,2,0,1,61709,638,197,15.4,19,FALSE,2,0,0,0,48437,598,111,13.2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,76,TOP,950,JUNGLE,163,MIDDLE,110,BOTTOM,89,UTILITY,82,TOP,80,JUNGLE,13,MIDDLE,81,BOTTOM,497,UTILITY,0,1,0,0,0,0,1,0,0,0,0,0
KR_7638378982,FALSE,17,TRUE,2,0,0,1,55682,763,145,14.8,32,FALSE,8,1,1,0,66558,819,211,16.8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,126,TOP,80,JUNGLE,103,MIDDLE,30,BOTTOM,89,UTILITY,163,MIDDLE,76,JUNGLE,58,TOP,110,BOTTOM,25,UTILITY,0,0,0,1,0,0,0,0,0,0,0,0
KR_7638287452,FALSE,13,FALSE,1,0,0,1,40572,566,104,12,30,TRUE,5,0,0,0,50342,648,181,14.2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,799,TOP,80,JUNGLE,38,MIDDLE,18,BOTTOM,111,UTILITY,126,TOP,238,JUNGLE,34,MIDDLE,81,BOTTOM,518,UTILITY,1,0,0,0,0,0,0,0,0,0,0,0
KR_7638099881,FALSE,11,FALSE,1,0,0,0,38924,570,116,11.6,27,TRUE,3,0,0,1,46022,601,142,12.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,TOP,5,JUNGLE,893,MIDDLE,21,BOTTOM,78,UTILITY,122,TOP,80,JUNGLE,163,MIDDLE,202,BOTTOM,432,UTILITY,1,0,0,0,0,0,0,0,0,0,0,0
KR_7638035663,TRUE,43,TRUE,4,0,0,1,53938,575,152,14,20,FALSE,2,0,0,0,44230,510,126,12.2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,799,TOP,80,JUNGLE,163,MIDDLE,202,BOTTOM,267,UTILITY,120,TOP,950,JUNGLE,1,MIDDLE,21,BOTTOM,60,UTILITY,0,0,0,1,0,1,0,0,0,0,0,0
KR_7637607877,FALSE,29,TRUE,5,0,0,0,69342,867,234,16.8,32,FALSE,9,1,2,1,77465,897,257,17.6,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,24,TOP,64,JUNGLE,3,MIDDLE,221,BOTTOM,12,UTILITY,126,TOP,254,JUNGLE,163,MIDDLE,498,BOTTOM,78,UTILITY,0,2,0,1,0,1,0,0,0,0,0,0
KR_7637561689,FALSE,12,TRUE,0,0,0,0,37685,537,131,12,25,FALSE,5,0,0,1,46472,549,129,13.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,68,TOP,5,JUNGLE,142,MIDDLE,18,BOTTOM,497,UTILITY,126,TOP,80,JUNGLE,13,MIDDLE,42,BOTTOM,518,UTILITY,1,0,0,0,0,0,1,0,0,0,0,0
KR_7637476819,FALSE,16,FALSE,4,0,0,0,60855,812,184,15.2,36,TRUE,10,1,1,1,72297,758,256,17,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,126,TOP,5,JUNGLE,268,MIDDLE,236,BOTTOM,267,UTILITY,78,TOP,254,JUNGLE,163,MIDDLE,119,BOTTOM,888,UTILITY,0,0,0,1,0,2,0,0,1,0,0,0
KR_7637413672,TRUE,32,TRUE,8,1,0,1,50953,567,135,13.6,13,FALSE,1,0,0,0,41089,530,112,11.6,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,126,TOP,80,JUNGLE,910,MIDDLE,895,BOTTOM,111,UTILITY,83,TOP,427,JUNGLE,142,MIDDLE,81,BOTTOM,9,UTILITY,1,0,0,0,0,0,0,1,0,0,0,0
KR_7636504521,FALSE,6,TRUE,0,0,0,0,25376,369,88,9.4,21,FALSE,1,0,0,0,33136,425,118,10.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,126,TOP,154,JUNGLE,103,MIDDLE,21,BOTTOM,12,UTILITY,68,TOP,234,JUNGLE,517,MIDDLE,110,BOTTOM,518,UTILITY,0,0,0,0,1,0,0,0,0,0,0,0
KR_7635214009,FALSE,18,TRUE,2,0,0,0,50311,679,152,13.8,42,FALSE,10,1,1,1,66834,692,198,16.4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,126,TOP,80,JUNGLE,238,MIDDLE,800,BOTTOM,89,UTILITY,887,TOP,163,JUNGLE,246,MIDDLE,202,BOTTOM,12,UTILITY,0,0,0,1,0,0,0,0,0,0,0,0
KR_7635174120,TRUE,20,FALSE,3,0,0,0,40441,527,143,11.6,9,TRUE,2,0,0,1,36284,513,126,11.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,TOP,5,JUNGLE,103,MIDDLE,429,BOTTOM,888,UTILITY,76,TOP,62,JUNGLE,1,MIDDLE,236,BOTTOM,267,UTILITY,0,1,0,0,1,0,0,1,0,0,0,0
KR_7635115577,TRUE,35,TRUE,9,2,0,1,58762,668,165,15,20,FALSE,2,0,0,0,50614,598,165,13.2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,799,TOP,5,JUNGLE,134,MIDDLE,236,BOTTOM,902,UTILITY,126,TOP,876,JUNGLE,555,MIDDLE,429,BOTTOM,80,UTILITY,0,0,1,0,1,0,0,0,0,0,0,0
KR_7635039032,FALSE,25,FALSE,4,0,0,1,60281,734,172,14.8,45,TRUE,8,1,1,0,71361,740,223,16.6,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,150,TOP,80,JUNGLE,61,MIDDLE,202,BOTTOM,60,UTILITY,68,TOP,234,JUNGLE,142,MIDDLE,81,BOTTOM,43,UTILITY,1,0,1,0,0,0,1,0,0,0,0,0
KR_7634980951,FALSE,6,FALSE,0,0,0,0,30514,464,126,11,13,TRUE,3,0,0,1,37940,552,132,11.4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,799,TOP,48,JUNGLE,142,MIDDLE,81,BOTTOM,432,UTILITY,887,TOP,5,JUNGLE,517,MIDDLE,110,BOTTOM,53,UTILITY,0,0,0,0,0,0,0,0,0,0,0,0
KR_7634779283,TRUE,34,TRUE,5,0,0,1,50483,527,176,13.6,17,FALSE,2,0,0,0,41250,566,110,11.8,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,83,TOP,56,JUNGLE,4,MIDDLE,81,BOTTOM,43,UTILITY,39,TOP,80,JUNGLE,893,MIDDLE,67,BOTTOM,518,UTILITY,0,1,0,0,0,0,0,0,0,0,0,0
KR_7634697558,TRUE,45,TRUE,10,2,1,1,72603,770,218,17,31,FALSE,3,0,0,0,62088,741,176,15.6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,887,TOP,9,JUNGLE,92,MIDDLE,236,BOTTOM,62,UTILITY,126,TOP,950,JUNGLE,61,MIDDLE,110,BOTTOM,14,UTILITY,0,0,0,0,1,0,0,1,0,0,0,0
KR_7634227090,TRUE,25,TRUE,5,0,0,0,47766,562,155,13.2,14,FALSE,3,0,0,1,42030,538,149,12,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,126,TOP,56,JUNGLE,3,MIDDLE,145,BOTTOM,497,UTILITY,68,TOP,234,JUNGLE,134,MIDDLE,202,BOTTOM,43,UTILITY,0,1,0,0,0,0,0,1,0,0,0,0
KR_7633832549,FALSE,15,FALSE,3,0,0,1,50850,701,174,13.8,33,TRUE,5,0,0,0,59380,716,209,15.6,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,68,TOP,254,JUNGLE,163,MIDDLE,145,BOTTOM,111,UTILITY,799,TOP,234,JUNGLE,103,MIDDLE,236,BOTTOM,518,UTILITY,1,0,0,0,0,1,0,0,0,0,0,0
KR_7633780609,FALSE,50,FALSE,5,1,0,0,85199,883,276,17.6,46,TRUE,9,2,1,1,93445,990,298,17.4,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,68,TOP,238,JUNGLE,112,MIDDLE,110,BOTTOM,78,UTILITY,893,TOP,143,JUNGLE,23,MIDDLE,145,BOTTOM,111,UTILITY,0,0,0,1,0,0,1,2,0,0,0,0
KR_7633715415,FALSE,24,TRUE,5,0,0,1,64402,855,202,15.6,34,FALSE,8,1,2,0,73555,833,229,17.2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,68,TOP,950,JUNGLE,238,MIDDLE,51,BOTTOM,12,UTILITY,3,TOP,5,JUNGLE,13,MIDDLE,236,BOTTOM,497,UTILITY,1,0,1,0,0,0,0,2,0,0,0,0
KR_7633657979,FALSE,27,TRUE,5,0,0,1,54771,695,194,14.2,30,FALSE,7,1,1,0,58686,710,180,15.4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,19,TOP,163,JUNGLE,13,MIDDLE,429,BOTTOM,80,UTILITY,897,TOP,950,JUNGLE,55,MIDDLE,21,BOTTOM,518,UTILITY,1,0,0,0,0,2,0,0,0,0,0,0
KR_7633096804,FALSE,35,TRUE,0,0,0,1,55468,604,176,14.4,34,FALSE,7,1,0,0,59491,684,179,14.6,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,14,TOP,143,JUNGLE,234,MIDDLE,221,BOTTOM,12,UTILITY,126,TOP,107,JUNGLE,112,MIDDLE,21,BOTTOM,80,UTILITY,0,0,0,1,0,0,0,0,0,0,0,0
KR_7633081440,FALSE,6,FALSE,0,0,0,0,24783,374,96,9.4,21,TRUE,0,0,0,0,30164,414,94,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,TOP,91,JUNGLE,163,MIDDLE,236,BOTTOM,267,UTILITY,126,TOP,64,JUNGLE,246,MIDDLE,910,BOTTOM,43,UTILITY,1,0,0,0,0,0,0,0,0,0,0,0
KR_7633068396,FALSE,0,FALSE,0,0,0,0,5740,72,8,3.2,1,TRUE,0,0,0,0,6597,73,27,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,TOP,254,JUNGLE,163,MIDDLE,51,BOTTOM,43,UTILITY,126,TOP,63,JUNGLE,268,MIDDLE,202,BOTTOM,432,UTILITY,0,0,0,0,0,0,0,0,0,0,0,0
